time/total_timesteps,train/explained_variance,train/value_loss,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,train/entropy_loss,train/policy_loss,train/learning_rate,train/n_updates
3244032,0.95182304084301,0.058232713490724564,3.361825942993164,309,396,34.76,0.12023872,10487,-0.20715683698654175,-0.18224801123142242,8.998144000000001e-05,395
3276800,0.9621555618941784,0.0294269397854805,3.432943344116211,309,400,34.56,0.11892799999999998,10587,-0.19563667476177216,-0.3516043424606323,8.8867328e-05,399
3309568,0.9506092555820942,0.05810680240392685,3.183953046798706,309,404,36.94,0.11761727999999999,10691,-0.20910567045211792,-0.4714677929878235,8.775321600000002e-05,403
3342336,0.9416690059006214,0.07214204967021942,3.116023063659668,309,408,37.23,0.11630655999999998,10792,-0.20752301812171936,-0.4869232475757599,8.6639104e-05,407
3375104,0.9435768872499466,0.052086785435676575,3.261939764022827,309,412,36.33,0.11499583999999999,10893,-0.2045433223247528,-0.39511534571647644,8.5524992e-05,411
3407872,0.9448447413742542,0.06421104073524475,3.273545742034912,309,416,36.43,0.11368512,10997,-0.20419198274612427,-0.20769661664962769,8.441088000000001e-05,415
3440640,0.9590002112090588,0.04345930367708206,3.297879934310913,309,420,36.21,0.11237440000000001,11099,-0.2003728151321411,-0.23824504017829895,8.3296768e-05,419
3473408,0.9589933082461357,0.03611181676387787,3.3367786407470703,310,424,35.73,0.11106368,11202,-0.19724272191524506,-0.37331753969192505,8.218265600000001e-05,423
3506176,0.9561938717961311,0.037067197263240814,3.111485481262207,310,428,38.7,0.10975296000000001,11303,-0.202557772397995,-0.43424761295318604,8.1068544e-05,427
3538944,0.9571823216974735,0.0388285331428051,3.268927812576294,310,432,35.96,0.10844224,11407,-0.19815276563167572,-0.4098028540611267,7.995443200000001e-05,431
3571712,0.9371523335576057,0.061783567070961,3.225067377090454,310,436,37.1,0.10713151999999998,11506,-0.1968906819820404,-0.2762129008769989,7.884032e-05,435
3604480,0.950065691024065,0.05146706476807594,3.1644363403320312,310,440,37.61,0.10582079999999999,11608,-0.19499529898166656,-0.23268163204193115,7.772620799999999e-05,439
3637248,0.9320917129516602,0.07170267403125763,3.329491376876831,310,444,35.51,0.10451007999999998,11713,-0.194993257522583,-0.26238036155700684,7.6612096e-05,443
3670016,0.9556381180882454,0.041045770049095154,3.2690179347991943,310,448,36.31,0.10319935999999999,11814,-0.19116467237472534,-0.3649292290210724,7.5497984e-05,447
3702784,0.942760668694973,0.055274344980716705,3.3469979763031006,310,452,35.44,0.10188864,11913,-0.19079631567001343,-0.33543816208839417,7.438387200000001e-05,451
3735552,0.9474914483726025,0.04901430010795593,3.1370849609375,310,456,37.52,0.10057792000000002,12014,-0.18644574284553528,-0.3193972110748291,7.326976e-05,455
3768320,0.9303830564022064,0.06989029794931412,3.1204967498779297,310,460,37.69,0.0992672,12117,-0.1899227499961853,-0.18501675128936768,7.215564800000002e-05,459
3801088,0.9512396678328514,0.07195430994033813,3.352421522140503,311,464,35.22,0.09795647999999998,12219,-0.18997418880462646,-0.12382371723651886,7.1041536e-05,463
3833856,0.9565978646278381,0.0583721399307251,3.3455939292907715,311,468,35.44,0.09664576,12319,-0.1867193728685379,-0.2227504551410675,6.992742400000001e-05,467
3866624,0.9673013016581535,0.02888757362961769,3.4343459606170654,311,472,34.43,0.09533503999999998,12424,-0.17710161209106445,-0.4270932078361511,6.881331200000001e-05,471
3899392,0.9315495863556862,0.09820044040679932,3.0642199516296387,311,476,38.32,0.09402432,12526,-0.1892770230770111,-0.43526092171669006,6.769919999999999e-05,475
3932160,0.9188140854239464,0.16345056891441345,2.935960292816162,311,480,39.73,0.09271359999999998,12625,-0.1900879591703415,-0.5059567093849182,6.6585088e-05,479
3964928,0.9418710544705391,0.05321133881807327,3.2124674320220947,311,484,36.41,0.09140287999999999,12727,-0.18615436553955078,-0.4503867030143738,6.5470976e-05,483
3997696,0.9624597989022732,0.046556174755096436,3.3361263275146484,311,488,35.45,0.09009215999999998,12827,-0.1815759837627411,-0.33607256412506104,6.435686400000001e-05,487
4030464,0.9606028348207474,0.0469491146504879,3.2743592262268066,311,492,35.78,0.08878143999999999,12929,-0.18384984135627747,-0.29673245549201965,6.3242752e-05,491
4063232,0.9523911699652672,0.05339892953634262,3.173367977142334,311,496,37.73,0.08747072,13031,-0.18717387318611145,-0.24786779284477234,6.212864000000002e-05,495
4096000,0.9530463591217995,0.051663339138031006,3.199808359146118,311,500,37.09,0.08615999999999999,13134,-0.18623583018779755,-0.289823055267334,6.1014528e-05,499
4128768,0.9649694561958313,0.037095241248607635,3.3062500953674316,311,504,35.39,0.08484928,13237,-0.18066081404685974,-0.35068759322166443,5.9900416e-05,503
4161536,0.9370947852730751,0.06738047301769257,3.3323974609375,312,508,35.13,0.08353855999999998,13337,-0.17757658660411835,-0.29440245032310486,5.878630400000001e-05,507
4194304,0.9557845182716846,0.03822802007198334,3.2740519046783447,312,512,35.73,0.08222784,13436,-0.17682263255119324,-0.5165795087814331,5.7672192e-05,511
4227072,0.9513907171785831,0.045846253633499146,3.139988660812378,312,516,37.4,0.08091711999999998,13542,-0.18495270609855652,-0.5329726338386536,5.655808000000001e-05,515
4259840,0.9426212683320045,0.05569533631205559,3.1930603981018066,312,520,37.12,0.0796064,13644,-0.18112999200820923,-0.2550455927848816,5.5443968e-05,519
4292608,0.9469110034406185,0.062120139598846436,3.0802488327026367,312,524,38.73,0.07829567999999998,13743,-0.1795690357685089,-0.26946085691452026,5.432985600000001e-05,523
4325376,0.9541837610304356,0.05297807231545448,3.344224214553833,312,528,35.26,0.07698495999999999,13844,-0.18012775480747223,-0.24833285808563232,5.3215744000000007e-05,527
4358144,0.9431846775114536,0.0575532391667366,3.3566901683807373,312,532,35.49,0.07567424,13947,-0.18051055073738098,-0.317519873380661,5.210163199999999e-05,531
4390912,0.9441900998353958,0.06147470325231552,3.2314798831939697,312,536,36.5,0.07436351999999999,14048,-0.18047985434532166,-0.4128360152244568,5.098752e-05,535
4423680,0.9420768544077873,0.0677236020565033,3.292724370956421,312,540,35.52,0.0730528,14149,-0.17779187858104706,-0.37982118129730225,4.9873408e-05,539
4456448,0.9456958323717117,0.05237830802798271,3.2931838035583496,312,544,35.9,0.07174207999999999,14252,-0.17810370028018951,-0.30963343381881714,4.875929600000001e-05,543
4489216,0.9571544118225574,0.04451914131641388,3.271505355834961,312,548,35.98,0.07043136,14353,-0.1697952002286911,-0.33381369709968567,4.7645184e-05,547
4521984,0.9513503015041351,0.047428615391254425,3.2951133251190186,312,552,35.6,0.06912063999999998,14453,-0.170827716588974,-0.29999053478240967,4.653107200000001e-05,551
4554752,0.9569959342479706,0.04474594444036484,3.1328680515289307,312,556,37.43,0.06780991999999997,14552,-0.1739501953125,-0.36602017283439636,4.541696e-05,555
4587520,0.9570069313049316,0.038982272148132324,3.297724723815918,313,560,35.58,0.06649919999999998,14655,-0.17226459085941315,-0.3931986689567566,4.430284800000001e-05,559
4620288,0.9587206542491913,0.034739114344120026,3.2575254440307617,313,564,35.56,0.06518848,14754,-0.17261925339698792,-0.48692068457603455,4.3188736e-05,563
4653056,0.9288205280900002,0.07584303617477417,3.003197431564331,313,568,38.85,0.06387776,14855,-0.1731887012720108,-0.3306278586387634,4.207462399999999e-05,567
4685824,0.940660435706377,0.05683661997318268,3.2974236011505127,313,572,35.65,0.06256703999999999,14959,-0.17559124529361725,-0.28113478422164917,4.0960512e-05,571
4718592,0.9489530920982361,0.057167842984199524,3.2896175384521484,313,576,35.96,0.06125632,15059,-0.17191308736801147,-0.25434961915016174,3.98464e-05,575
4751360,0.9511246308684349,0.053274303674697876,3.3151419162750244,313,580,35.69,0.05994559999999999,15159,-0.17140884697437286,-0.2574011981487274,3.873228800000001e-05,579
4784128,0.9522202499210835,0.04636986553668976,3.3086228370666504,313,584,36.08,0.05863487999999997,15260,-0.16939818859100342,-0.37052589654922485,3.7618176e-05,583
4816896,0.9449462182819843,0.05671447515487671,3.243281841278076,313,588,36.25,0.057324159999999985,15364,-0.17034009099006653,-0.3865901827812195,3.650406400000001e-05,587
4849664,0.9336482360959053,0.0712980329990387,3.329724073410034,313,592,35.3,0.05601343999999997,15464,-0.1690722405910492,-0.347700297832489,3.5389952e-05,591
4882432,0.9484891407191753,0.04915650188922882,3.264192581176758,313,596,36.19,0.05470271999999998,15565,-0.16907796263694763,-0.36996716260910034,3.427583999999999e-05,595
4915200,0.9414444155991077,0.0602816566824913,3.1816189289093018,313,600,37.08,0.053391999999999995,15669,-0.16516733169555664,-0.29460960626602173,3.3161728e-05,599
4947968,0.9547741785645485,0.04666541889309883,3.2959601879119873,313,604,35.61,0.05208128000000001,15770,-0.16523072123527527,-0.2856082320213318,3.2047616e-05,603
4980736,0.9497053772211075,0.05148550122976303,3.230470657348633,313,608,36.56,0.05077055999999999,15869,-0.16576635837554932,-0.2329498529434204,3.093350400000001e-05,607
