train/n_updates,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,train/policy_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,time/iterations,train/learning_rate,train/explained_variance
1619,-6.019895076751709,5902,0.13423725714285717,0.024128373712301254,2488320,61.08,421,-0.8191894292831421,0.8671315908432007,1620,0.00021118628571428568,-0.6137992143630981
1639,-6.465795516967773,5977,0.13342537142857144,0.017058953642845154,2519040,66.95,421,-0.8425086736679077,0.6257080435752869,1640,0.00021008914285714284,-0.18434607982635498
1659,-6.438814640045166,6051,0.13261348571428572,-0.0019348158966749907,2549760,65.67,421,-0.8315324187278748,0.775233268737793,1660,0.00020899199999999997,-0.23638808727264404
1679,-6.656879425048828,6124,0.13180160000000002,0.009146093390882015,2580480,65.79,421,-0.8144598007202148,0.8988584280014038,1680,0.0002078948571428571,-0.310213565826416
1699,-6.366207122802734,6200,0.1309897142857143,0.019666504114866257,2611200,63.86,421,-0.8153462409973145,1.0116313695907593,1700,0.00020679771428571425,-0.5052019357681274
1719,-7.43674373626709,6275,0.13017782857142857,-0.004031994380056858,2641920,77.96,421,-0.8306006193161011,0.7968602180480957,1720,0.00020570057142857138,-0.5021816492080688
1739,-5.57589054107666,6348,0.12936594285714287,0.020271340385079384,2672640,60.29,420,-0.8221468925476074,0.7299554347991943,1740,0.00020460342857142851,-0.381436824798584
1759,-6.4853129386901855,6421,0.12855405714285717,0.01422968041151762,2703360,66.88,420,-0.8187304735183716,0.9514416456222534,1760,0.00020350628571428567,-0.01819002628326416
1779,-7.0630950927734375,6499,0.12774217142857144,0.02146836370229721,2734080,73.48,420,-0.8231010437011719,0.8755475282669067,1780,0.00020240914285714283,-0.2599329948425293
1799,-5.8910651206970215,6574,0.12693028571428572,0.026261966675519943,2764800,57.16,420,-0.8168977499008179,0.9426288604736328,1800,0.00020131199999999996,-0.36337125301361084
1819,-5.58317756652832,6648,0.12611840000000002,0.010026312433183193,2795520,59.18,420,-0.8263015747070312,0.7513657808303833,1820,0.00020021485714285712,-0.09103155136108398
1839,-6.6956071853637695,6722,0.12530651428571432,0.025326397269964218,2826240,68.56,420,-0.817162036895752,0.7992663383483887,1840,0.00019911771428571427,-0.24287307262420654
1859,-6.739793300628662,6795,0.12449462857142858,0.0055928584188222885,2856960,67.92,420,-0.826795756816864,0.7103427648544312,1860,0.0001980205714285714,-0.12080252170562744
1879,-6.285834789276123,6871,0.12368274285714287,0.00873471423983574,2887680,68.89,420,-0.8173459768295288,0.7330485582351685,1880,0.00019692342857142853,-0.45792436599731445
1899,-8.25696849822998,6944,0.12287085714285716,0.02029098942875862,2918400,78.59,420,-0.8144162893295288,0.9698663949966431,1900,0.0001958262857142857,-0.39610445499420166
1919,-5.768779754638672,7016,0.12205897142857144,0.017295509576797485,2949120,60.91,420,-0.8194810152053833,0.6917017698287964,1920,0.00019472914285714282,-0.1179724931716919
1939,-6.480152130126953,7087,0.12124708571428573,0.017998764291405678,2979840,67.46,420,-0.8320508003234863,0.6992315649986267,1940,0.00019363199999999995,-0.10112512111663818
1959,-6.258256912231445,7157,0.1204352,0.027732476592063904,3010560,60.7,420,-0.816842257976532,0.7902364730834961,1960,0.0001925348571428571,-0.3182199001312256
1979,-6.065436840057373,7231,0.1196233142857143,0.018757155165076256,3041280,67.65,420,-0.8222246170043945,0.8100208044052124,1980,0.00019143771428571424,-0.48255252838134766
1999,-5.797266960144043,7302,0.11881142857142858,0.01078829076141119,3072000,59.7,420,-0.8299542665481567,0.8073613047599792,2000,0.0001903405714285714,-0.15271735191345215
2019,-6.25469970703125,7373,0.11799954285714287,0.01973714493215084,3102720,60.88,420,-0.8141271471977234,0.9066752195358276,2020,0.00018924342857142855,-0.6729735136032104
2039,-6.276284217834473,7446,0.11718765714285716,0.017417168244719505,3133440,64.63,420,-0.8287889957427979,0.8102731108665466,2040,0.00018814628571428568,-0.15370750427246094
2059,-4.885663032531738,7519,0.11637577142857145,0.03328107297420502,3164160,52.17,420,-0.8222064971923828,0.873573899269104,2060,0.00018704914285714284,-0.3533766269683838
2079,-5.579349517822266,7594,0.11556388571428572,0.01760139688849449,3194880,56.3,420,-0.8222708702087402,0.8596116304397583,2080,0.000185952,-0.01803767681121826
2099,-5.137699127197266,7669,0.11475200000000002,0.00823974423110485,3225600,53.96,420,-0.8239645957946777,0.7182468175888062,2100,0.0001848548571428571,-0.19316542148590088
2119,-7.139694690704346,7743,0.1139401142857143,0.031299639493227005,3256320,71.7,420,-0.8184148669242859,0.8489965200424194,2120,0.00018375771428571426,-0.5374764204025269
2139,-8.09066390991211,7817,0.11312822857142858,0.032650552690029144,3287040,82.4,420,-0.8265212774276733,0.8785775899887085,2140,0.00018266057142857142,-0.5035370588302612
2159,-6.2421040534973145,7890,0.11231634285714287,0.022434767335653305,3317760,68.05,420,-0.8208664655685425,0.9128034114837646,2160,0.00018156342857142852,-0.3175426721572876
2179,-6.741735458374023,7966,0.11150445714285716,0.006339520215988159,3348480,67.25,420,-0.8310635089874268,0.6960476636886597,2180,0.00018046628571428568,-0.12115824222564697
2199,-6.225503444671631,8040,0.11069257142857145,0.01330728828907013,3379200,63.77,420,-0.8218512535095215,0.8306688666343689,2200,0.00017936914285714283,-0.3953758478164673
2219,-7.057238578796387,8114,0.10988068571428573,0.023854278028011322,3409920,71.24,420,-0.819905161857605,0.8383641242980957,2220,0.00017827199999999996,-0.39271652698516846
2239,-8.2858304977417,8188,0.10906880000000001,0.02104286476969719,3440640,78.77,420,-0.8208596706390381,0.8746013045310974,2240,0.00017717485714285712,-0.21915364265441895
2259,-6.5019917488098145,8265,0.1082569142857143,0.010890914127230644,3471360,64.27,419,-0.8158542513847351,0.9677886366844177,2260,0.00017607771428571428,-0.2843130826950073
2279,-6.7108540534973145,8338,0.10744502857142858,0.01942073181271553,3502080,67.55,419,-0.8173388242721558,0.9506769180297852,2280,0.0001749805714285714,-0.11702275276184082
2299,-5.273938179016113,8415,0.10663314285714287,0.007686199154704809,3532800,57.34,419,-0.8167921304702759,0.7949792146682739,2300,0.00017388342857142854,-0.049031972885131836
2319,-6.697010040283203,8487,0.10582125714285716,0.01546457689255476,3563520,71.91,419,-0.8230401873588562,0.7578744292259216,2320,0.00017278628571428567,-0.400687575340271
2339,-6.790511608123779,8562,0.10500937142857145,0.02177361026406288,3594240,64.91,419,-0.8246335983276367,0.9389037489891052,2340,0.00017168914285714282,-0.3581545352935791
2359,-6.099205493927002,8639,0.10419748571428573,0.025474300608038902,3624960,65.36,419,-0.8275690078735352,0.7610288858413696,2360,0.00017059199999999998,-0.2961922883987427
2379,-7.120404243469238,8714,0.10338560000000001,0.011330856941640377,3655680,74.08,419,-0.8374481201171875,0.8980576395988464,2380,0.00016949485714285714,-0.49354004859924316
2399,-6.778895854949951,8790,0.1025737142857143,0.01895250380039215,3686400,70.14,419,-0.8179932832717896,0.8146971464157104,2400,0.00016839771428571424,-0.13816046714782715
2419,-6.876713275909424,8866,0.10176182857142858,0.024707576259970665,3717120,71.69,419,-0.8251960277557373,0.8659331202507019,2420,0.0001673005714285714,-0.3456813097000122
2439,-6.000459671020508,8939,0.10094994285714287,0.012437431141734123,3747840,62.65,419,-0.8205184936523438,0.8718476295471191,2440,0.00016620342857142856,-0.30488264560699463
2459,-5.8517022132873535,9017,0.10013805714285716,0.007737296633422375,3778560,60.83,419,-0.817438006401062,0.6224737167358398,2460,0.0001651062857142857,-0.06080436706542969
2479,-5.531385898590088,9093,0.09932617142857143,0.02552465908229351,3809280,53.52,418,-0.8261653780937195,0.8564278483390808,2480,0.00016400914285714284,-0.4154703617095947
2499,-7.080194473266602,9170,0.09851428571428572,0.02284456603229046,3840000,68.2,418,-0.8300050497055054,0.8382546305656433,2500,0.000162912,-0.1334981918334961
2519,-5.196575164794922,9243,0.09770240000000001,0.010455715470016003,3870720,53.52,418,-0.8203944563865662,0.6501206159591675,2520,0.0001618148571428571,-0.18810904026031494
2539,-6.754390239715576,9317,0.0968905142857143,0.0074889096431434155,3901440,70.08,418,-0.8214292526245117,0.7877470254898071,2540,0.00016071771428571426,-0.2803725004196167
2559,-4.9209885597229,9394,0.09607862857142858,0.013901621103286743,3932160,51.47,418,-0.8274091482162476,0.679843544960022,2560,0.00015962057142857142,-0.04633045196533203
2579,-7.144242763519287,9469,0.09526674285714289,0.008051294833421707,3962880,72.09,418,-0.824774444103241,0.8157368898391724,2580,0.00015852342857142855,-0.11824297904968262
2599,-5.7892022132873535,9544,0.09445485714285715,-0.005736592225730419,3993600,60.72,418,-0.8344440460205078,0.7708861827850342,2600,0.0001574262857142857,-0.29687976837158203
