train/entropy_loss,time/total_timesteps,time/fps,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/value_loss,train/learning_rate,time/iterations,train/policy_loss,train/explained_variance
-0.2591598629951477,5427200,467,10599,11620,381.16,1.2085333333333335,17.64594078063965,4.456791877746582,0.0003,10600,-0.00021624378859996796,-4.971027374267578e-05
-0.24183297157287598,5478400,467,10699,11730,356.85,1.2010666666666667,17.867095947265625,2.424752712249756,0.0003,10700,0.037598226219415665,-2.5033950805664062e-06
-0.24790135025978088,5529600,467,10799,11838,356.68,1.1936,17.361743927001953,5.382392883300781,0.0003,10800,0.015020242892205715,3.5762786865234375e-07
-0.26002752780914307,5580800,467,10899,11948,377.63,1.1861333333333333,17.16963768005371,4.374988555908203,0.0003,10900,0.028866123408079147,-1.2993812561035156e-05
-0.258586585521698,5632000,467,10999,12057,405.15,1.1786666666666665,18.833969116210938,6.556797027587891,0.0003,11000,0.062157079577445984,-2.467632293701172e-05
-0.24751538038253784,5683200,467,11099,12167,426.6,1.1712,18.296537399291992,3.700535774230957,0.0003,11100,0.023514477536082268,1.5676021575927734e-05
-0.2646293640136719,5734400,467,11199,12277,419.42,1.1637333333333333,18.357450485229492,4.432625770568848,0.0003,11200,0.04123296961188316,3.874301910400391e-06
-0.2547242045402527,5785600,467,11299,12385,409.56,1.1562666666666668,18.22207260131836,2.786057472229004,0.0003,11300,0.03991062939167023,-4.100799560546875e-05
-0.23713213205337524,5836800,467,11399,12494,409.88,1.1488,17.665979385375977,3.3349170684814453,0.0003,11400,0.06849396228790283,-1.7881393432617188e-05
-0.2662629187107086,5888000,467,11499,12603,397.42,1.1413333333333333,17.7590389251709,7.904148101806641,0.0003,11500,0.030198287218809128,7.450580596923828e-06
-0.2585819661617279,5939200,467,11599,12711,372.77,1.1338666666666666,17.47088050842285,2.314995765686035,0.0003,11600,-0.011746971867978573,-4.3392181396484375e-05
-0.2589474320411682,5990400,467,11699,12820,428.35,1.1264,19.5793399810791,4.323038578033447,0.0003,11700,0.001793166622519493,-2.384185791015625e-05
-0.2612171471118927,6041600,467,11799,12928,354.85,1.1189333333333336,17.031574249267578,2.668785333633423,0.0003,11800,0.03682783991098404,-5.0902366638183594e-05
-0.27452242374420166,6092800,467,11899,13036,401.88,1.1114666666666666,18.280855178833008,2.958444356918335,0.0003,11900,0.04255747050046921,3.159046173095703e-05
-0.2508111596107483,6144000,467,11999,13144,392.46,1.104,17.754323959350586,6.825473308563232,0.0003,12000,0.06557659804821014,2.4497509002685547e-05
-0.26149702072143555,6195200,467,12099,13252,423.31,1.0965333333333334,18.946632385253906,8.443429946899414,0.0003,12100,0.0058089615777134895,-1.1920928955078125e-06
-0.24606981873512268,6246400,467,12199,13361,393.85,1.0890666666666666,18.065420150756836,4.609201431274414,0.0003,12200,0.028110068291425705,-8.821487426757812e-06
-0.2652761936187744,6297600,467,12299,13473,360.13,1.0816,17.132524490356445,4.349514961242676,0.0003,12300,0.007836703211069107,3.427267074584961e-05
-0.2601848840713501,6348800,467,12399,13581,429.46,1.0741333333333332,18.807415008544922,4.382983207702637,0.0003,12400,0.016608741134405136,-4.017353057861328e-05
-0.2556172311306,6400000,467,12499,13689,398.15,1.0666666666666667,17.909177780151367,3.7134344577789307,0.0003,12500,0.004039956256747246,-1.430511474609375e-05
-0.25410786271095276,6451200,467,12599,13797,364.03,1.0592000000000001,17.645536422729492,4.064199447631836,0.0003,12600,-0.002985184546560049,4.869699478149414e-05
-0.27515673637390137,6502400,467,12699,13906,429.95,1.0517333333333332,18.908567428588867,3.5982766151428223,0.0003,12700,0.022469155490398407,-9.250640869140625e-05
-0.27067431807518005,6553600,467,12799,14015,456.39,1.0442666666666667,19.330141067504883,4.330606460571289,0.0003,12800,0.017419641837477684,-1.6689300537109375e-05
-0.25817394256591797,6604800,467,12899,14126,388.24,1.0368,17.78496551513672,2.245913505554199,0.0003,12900,0.0664156973361969,-4.374980926513672e-05
-0.280658483505249,6656000,467,12999,14235,397.88,1.0293333333333334,17.90121078491211,1.4816794395446777,0.0003,13000,0.008733757771551609,-4.303455352783203e-05
-0.2669653594493866,6707200,467,13099,14342,417.44,1.0218666666666667,17.925806045532227,4.452205657958984,0.0003,13100,0.059951867908239365,-1.6689300537109375e-05
