train/value_loss,time/time_elapsed,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/policy_loss,rollout/ep_len_mean,train/learning_rate,train/ent_coef,train/explained_variance
0.45890724658966064,6993,-0.5946562886238098,2734080,-10.894996643066406,390,1780,1779,0.04439961910247803,57.91,0.0001633728,0.0735488,0.5107528865337372
0.546974778175354,7224,-0.581123948097229,2764800,-13.036703109741211,382,1800,1799,0.043717436492443085,67.58,0.0001618368,0.072128,0.3270155191421509
0.597082793712616,7452,-0.5856677293777466,2795520,-14.632411003112793,375,1820,1819,0.054138507694005966,77.56,0.0001603008,0.07070720000000003,0.6254677176475525
0.5594528913497925,7635,-0.5844343900680542,2826240,-17.940603256225586,370,1840,1839,0.03179630637168884,93.43,0.0001587648,0.06928640000000003,0.5254233479499817
0.48030614852905273,7864,-0.5788532495498657,2856960,-9.5282621383667,363,1860,1859,0.02295747771859169,49.09,0.00015722879999999998,0.06786560000000003,0.38216137886047363
0.5107623934745789,8124,-0.5747095346450806,2887680,-16.192489624023438,355,1880,1879,0.03555414453148842,85.75,0.0001556928,0.0664448,0.41263431310653687
0.41420555114746094,8386,-0.5784797072410583,2918400,-8.069733619689941,347,1900,1899,0.008066832087934017,42.07,0.00015415680000000002,0.065024,0.39945703744888306
0.4576117694377899,8633,-0.580551028251648,2949120,-13.141680717468262,341,1920,1919,0.07218299061059952,70.3,0.00015262080000000001,0.0636032,0.442857027053833
0.4345930814743042,8879,-0.5878994464874268,2979840,-11.962061882019043,335,1940,1939,0.048512887209653854,64.05,0.0001510848,0.06218240000000003,0.3350145220756531
0.45613163709640503,9103,-0.5798850059509277,3010560,-8.934823036193848,330,1960,1959,0.023577382788062096,46.65,0.0001495488,0.06076160000000003,0.12783372402191162
0.46272844076156616,9319,-0.577512800693512,3041280,-11.382187843322754,326,1980,1979,0.052271466702222824,59.77,0.00014801280000000002,0.05934080000000003,0.4365474581718445
0.5111583471298218,9560,-0.5929068922996521,3072000,-12.300682067871094,321,2000,1999,0.02798089012503624,66.82,0.0001464768,0.05792,0.5119412541389465
0.5082241892814636,9835,-0.5825368165969849,3102720,-11.764049530029297,315,2020,2019,0.06746312230825424,62.71,0.0001449408,0.0564992,0.4481913447380066
0.5744374394416809,10082,-0.5812187194824219,3133440,-14.657933235168457,310,2040,2039,0.065513476729393,75.72,0.0001434048,0.05507840000000003,0.06512081623077393
0.48111265897750854,10253,-0.5869134664535522,3164160,-10.872737884521484,308,2060,2059,0.03787888213992119,57.47,0.0001418688,0.05365760000000003,0.41089296340942383
0.45519351959228516,10337,-0.5837312936782837,3194880,-13.262343406677246,309,2080,2079,0.07836229354143143,69.87,0.00014033279999999999,0.05223680000000003,0.4995732307434082
0.5094174742698669,10423,-0.5798705816268921,3225600,-12.857176780700684,309,2100,2099,0.021833432838320732,67.08,0.0001387968,0.050816,0.38918930292129517
0.4572579264640808,10509,-0.5959862470626831,3256320,-11.3336820602417,309,2120,2119,0.04842954874038696,60.76,0.0001372608,0.0493952,0.573622316122055
0.5898993015289307,10595,-0.5846607685089111,3287040,-14.036511421203613,310,2140,2139,0.03786060959100723,73.28,0.0001357248,0.0479744,0.4433367848396301
0.45418214797973633,10682,-0.5867050886154175,3317760,-15.342798233032227,310,2160,2159,0.06187860295176506,81.38,0.00013418879999999998,0.04655360000000003,0.3809853792190552
0.4516075551509857,10766,-0.5971459746360779,3348480,-15.011835098266602,310,2180,2179,0.08848723024129868,81.49,0.0001326528,0.04513280000000003,0.6000496745109558
0.432925283908844,10849,-0.581163227558136,3379200,-17.5986385345459,311,2200,2199,0.02291850373148918,92.71,0.0001311168,0.043712,0.5442582666873932
0.4727289378643036,10935,-0.5964081287384033,3409920,-12.976702690124512,311,2220,2219,0.0729418471455574,67.64,0.00012958080000000002,0.0422912,0.4003855586051941
0.493794322013855,11021,-0.5775160789489746,3440640,-16.357114791870117,312,2240,2239,0.0999937653541565,85.61,0.0001280448,0.0408704,0.39112579822540283
0.5145660638809204,11106,-0.5822868347167969,3471360,-10.158239364624023,312,2260,2259,0.06646393984556198,52.35,0.0001265088,0.03944960000000003,0.38256824016571045
0.45296332240104675,11190,-0.5810653567314148,3502080,-15.372292518615723,312,2280,2279,0.03360311686992645,82.09,0.0001249728,0.03802880000000003,0.39743226766586304
0.5317098498344421,11275,-0.5810329914093018,3532800,-15.541208267211914,313,2300,2299,0.03159298747777939,82.8,0.0001234368,0.03660800000000003,0.537014365196228
0.4400990903377533,11359,-0.5909941792488098,3563520,-10.887760162353516,313,2320,2319,-0.023308120667934418,57.45,0.00012190080000000001,0.0351872,0.47393274307250977
0.4181913733482361,11443,-0.5868291854858398,3594240,-15.746033668518066,314,2340,2339,0.07015740871429443,83.6,0.0001203648,0.0337664,0.431115984916687
0.44547638297080994,11527,-0.5851585865020752,3624960,-8.799181938171387,314,2360,2359,0.04852410405874252,46.28,0.0001188288,0.0323456,0.4010886549949646
0.5576282739639282,11611,-0.5844491720199585,3655680,-11.48967170715332,314,2380,2379,0.05223575234413147,60.07,0.0001172928,0.03092480000000003,0.22139418125152588
0.48067039251327515,11697,-0.5834285020828247,3686400,-10.919946670532227,315,2400,2399,0.058245908468961716,58.87,0.0001157568,0.02950400000000003,0.4345397353172302
0.4372962713241577,11783,-0.5847772359848022,3717120,-17.115995407104492,315,2420,2419,0.05885068699717522,90.22,0.00011422079999999999,0.028083200000000003,0.5527672171592712
0.47626012563705444,11868,-0.5845094919204712,3747840,-10.558836936950684,315,2440,2439,0.06360630691051483,56.78,0.00011268480000000001,0.026662400000000003,0.5069299042224884
0.48337072134017944,11952,-0.5720759630203247,3778560,-13.301822662353516,316,2460,2459,0.030838962644338608,72.36,0.0001111488,0.025241600000000003,0.5089973509311676
0.5209207534790039,12037,-0.5857054591178894,3809280,-15.580307960510254,316,2480,2479,0.022832747548818588,83.81,0.00010961280000000001,0.023820800000000003,0.567031055688858
0.459398478269577,12125,-0.5889238715171814,3840000,-14.400312423706055,316,2500,2499,0.071125827729702,77.06,0.0001080768,0.02240000000000003,0.510045737028122
0.4868130683898926,12211,-0.5887018442153931,3870720,-15.606191635131836,316,2520,2519,0.055578723549842834,82.67,0.0001065408,0.020979200000000003,0.5080946385860443
0.5236378908157349,12305,-0.591059684753418,3901440,-13.8378324508667,317,2540,2539,0.04888308048248291,74.34,0.00010500480000000001,0.019558400000000004,0.5741173326969147
0.477129191160202,12417,-0.5763753652572632,3932160,-9.088698387145996,316,2560,2559,0.02762731909751892,48.25,0.00010346880000000001,0.018137600000000004,0.46869611740112305
0.5005031228065491,12513,-0.588131308555603,3962880,-11.679115295410156,316,2580,2579,0.033612124621868134,62.56,0.0001019328,0.016716800000000004,0.506913810968399
0.5177488327026367,12608,-0.5902035236358643,3993600,-14.075775146484375,316,2600,2599,0.022525489330291748,74.35,0.00010039680000000001,0.015296000000000032,0.4757401943206787
