rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/ent_coef,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/policy_loss,train/entropy_loss
117.98,1536,317,-3.2480685710906982,119,487424,0.22947968000000002,5.16672e-05,118,0.37189483642578125,-0.17394959926605225,0.01896464265882969,-0.6628825664520264
125.45,1549,317,-3.4730162620544434,120,491520,0.22720639999999998,5.12576e-05,119,0.3516240119934082,-0.06693089008331299,0.01490626111626625,-0.6620054841041565
127.47,1562,317,-3.576944589614868,121,495616,0.22493312,5.0848e-05,120,0.310926616191864,-0.05439102649688721,0.018051043152809143,-0.661237895488739
124.35,1574,317,-3.4514007568359375,122,499712,0.22265984,5.04384e-05,121,0.35698360204696655,-0.2614816427230835,0.014840073883533478,-0.6609606742858887
119.95,1587,317,-3.24568247795105,123,503808,0.22038656,5.00288e-05,122,0.3286517262458801,-0.12872374057769775,0.005394265055656433,-0.662894606590271
114.69,1600,317,-3.087428092956543,124,507904,0.21811327999999996,4.96192e-05,123,0.3408950865268707,-0.12177228927612305,0.010634558275341988,-0.6616114377975464
112.63,1613,317,-3.0438108444213867,125,512000,0.21583999999999998,4.92096e-05,124,0.38752663135528564,-0.23498868942260742,0.012721522711217403,-0.6609174013137817
118.24,1625,317,-3.3093760013580322,126,516096,0.21356672000000004,4.88e-05,125,0.3238314986228943,-0.17047476768493652,0.012238345108926296,-0.661020815372467
118.53,1638,317,-3.21662974357605,127,520192,0.21129344,4.8390400000000003e-05,126,0.36840128898620605,-0.04258286952972412,0.01725878193974495,-0.6628570556640625
115.78,1651,317,-3.1959784030914307,128,524288,0.20902016,4.79808e-05,127,0.3629986047744751,-0.2882192134857178,0.023735590279102325,-0.6608712673187256
122.19,1663,317,-3.3154244422912598,129,528384,0.20674687999999997,4.75712e-05,128,0.3473394513130188,-0.08177268505096436,0.020458608865737915,-0.6606013774871826
123.73,1676,317,-3.5594427585601807,130,532480,0.20447360000000003,4.71616e-05,129,0.3247344195842743,-0.02995753288269043,0.01333694625645876,-0.6612562537193298
122.65,1689,317,-3.796269178390503,131,536576,0.20220032,4.6752e-05,130,0.3534509241580963,-0.11246156692504883,0.015912167727947235,-0.6621209979057312
113.25,1701,317,-3.5392754077911377,132,540672,0.19992704,4.63424e-05,131,0.3380352258682251,-0.031880974769592285,0.01759478636085987,-0.6601289510726929
114.53,1714,317,-3.3187942504882812,133,544768,0.19765375999999996,4.59328e-05,132,0.36973288655281067,-0.09367787837982178,0.011727701872587204,-0.6606552004814148
117.44,1727,317,-3.205899238586426,134,548864,0.19538048000000002,4.55232e-05,133,0.3174763321876526,-0.13312888145446777,0.016058579087257385,-0.6614271402359009
118.64,1739,317,-3.365429639816284,135,552960,0.19310720000000003,4.51136e-05,134,0.34545689821243286,-0.12289023399353027,0.013400953263044357,-0.659435510635376
120.75,1752,317,-3.5496585369110107,136,557056,0.19083392,4.4704000000000004e-05,135,0.36922144889831543,-0.10573184490203857,0.008499456569552422,-0.6615825891494751
120.96,1765,317,-3.512693166732788,137,561152,0.18856064,4.42944e-05,136,0.32518598437309265,-0.09578061103820801,0.01654803566634655,-0.66245037317276
125.49,1777,317,-3.505638360977173,138,565248,0.18628736,4.3884800000000004e-05,137,0.37693244218826294,-0.04271972179412842,0.005553670227527618,-0.6625285148620605
121.49,1790,317,-3.352104902267456,139,569344,0.18401408000000002,4.34752e-05,138,0.4008697271347046,-0.1257408857345581,0.013983680866658688,-0.6627228260040283
116.62,1803,318,-3.2464654445648193,140,573440,0.18174079999999998,4.30656e-05,139,0.4039006233215332,-0.23329448699951172,0.01576499454677105,-0.6619694828987122
118.05,1815,318,-3.379180908203125,141,577536,0.17946752,4.2656e-05,140,0.3375702202320099,-0.11996781826019287,0.015414748340845108,-0.660895824432373
