time/fps,train/learning_rate,train/policy_loss,train/explained_variance,time/time_elapsed,train/ent_coef,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,time/iterations,train/n_updates,train/entropy_loss,rollout/ep_len_mean
226,0.000115606016,-0.1043705865740776,0.9576446674764156,10983,0.130462336,6.6736226081848145,0.050773441791534424,2490368,304,303,-0.3743591904640198,94.79
227,0.000114491904,-0.09993840008974075,0.9434265829622746,11102,0.128889472,6.7223381996154785,0.0703357458114624,2523136,308,307,-0.3604152500629425,90.3
227,0.00011337779200000002,-0.0972609743475914,0.9476874843239784,11224,0.127316608,6.724535942077637,0.06148333102464676,2555904,312,311,-0.3616431653499603,83.28
228,0.00011226368,-0.10607171803712845,0.9488704092800617,11346,0.125743744,6.480795383453369,0.06258134543895721,2588672,316,315,-0.38435453176498413,99.21
228,0.000111149568,-0.10510705411434174,0.9472151733934879,11467,0.12417088000000001,6.709662437438965,0.064752958714962,2621440,320,319,-0.3747764527797699,89.33
228,0.00011003545600000001,-0.10489249229431152,0.9427007623016834,11594,0.122598016,6.669764518737793,0.06403698027133942,2654208,324,323,-0.3528284430503845,87.42
229,0.000108921344,-0.11354739964008331,0.9482040889561176,11720,0.12102515200000002,6.544363498687744,0.06297779083251953,2686976,328,327,-0.3668164014816284,94.37
229,0.00010780723200000001,-0.10417892783880234,0.9562654085457325,11847,0.11945228799999999,6.547313690185547,0.0556991808116436,2719744,332,331,-0.3509375751018524,92.52
229,0.00010669312,-0.10253462195396423,0.9496351927518845,11977,0.11787942400000001,6.7430500984191895,0.06424538046121597,2752512,336,335,-0.33130940794944763,94.36
230,0.00010557900800000001,-0.11208707094192505,0.9571897387504578,12103,0.11630656,6.725758075714111,0.050949759781360626,2785280,340,339,-0.3541920781135559,87.95
230,0.000104464896,-0.10973331332206726,0.9534027986228466,12231,0.114733696,6.727592945098877,0.05392283946275711,2818048,344,343,-0.358862042427063,88.33
230,0.00010335078399999999,-0.10593761503696442,0.960019938647747,12359,0.11316083200000002,6.9015889167785645,0.04945487901568413,2850816,348,347,-0.3507043421268463,88.16
230,0.000102236672,-0.1117437481880188,0.9588316306471825,12486,0.11158796800000001,6.734492778778076,0.05132003873586655,2883584,352,351,-0.3519752621650696,80.17
231,0.00010112256,-0.112187460064888,0.9606712833046913,12615,0.110015104,6.777056694030762,0.04617111012339592,2916352,356,355,-0.34571701288223267,82.14
231,0.00010000844800000001,-0.11416466534137726,0.9498517960309982,12741,0.10844224,6.748061656951904,0.05927933380007744,2949120,360,359,-0.3347245156764984,88.78
231,9.8894336e-05,-0.09295642375946045,0.9449188970029354,12866,0.10686937600000002,6.905206680297852,0.061503149569034576,2981888,364,363,-0.31560376286506653,84.76
232,9.778022400000002e-05,-0.1115369200706482,0.9636349640786648,12992,0.10529651200000001,6.7696003913879395,0.05034065991640091,3014656,368,367,-0.33766940236091614,88.47
232,9.6666112e-05,-0.11671431362628937,0.9480641707777977,13119,0.103723648,6.876933574676514,0.06654652953147888,3047424,372,371,-0.3370700478553772,85.24
232,9.555200000000001e-05,-0.13600380718708038,0.9518724903464317,13244,0.10215078400000002,6.916115760803223,0.05033803731203079,3080192,376,375,-0.3244227170944214,86.05
232,9.4437888e-05,-0.13327547907829285,0.9509331732988358,13371,0.10057791999999999,6.659669876098633,0.05969458818435669,3112960,380,379,-0.34072351455688477,90.44
233,9.332377599999999e-05,-0.1284334510564804,0.9631662629544735,13500,0.09900505600000001,6.6417083740234375,0.045861393213272095,3145728,384,383,-0.3555213212966919,95.47
233,9.2209664e-05,-0.11667053401470184,0.9625352658331394,13625,0.097432192,6.678246021270752,0.055838197469711304,3178496,388,387,-0.33716168999671936,95.02
233,9.1095552e-05,-0.13283094763755798,0.9630783312022686,13752,0.09585932800000002,6.8822832107543945,0.04289049655199051,3211264,392,391,-0.3180106282234192,86.06
233,8.998144000000001e-05,-0.1307348608970642,0.9605567194521427,13879,0.09428646400000001,6.938999652862549,0.045340634882450104,3244032,396,395,-0.32007306814193726,82.45
233,8.8867328e-05,-0.14718665182590485,0.9552570320665836,14003,0.09271359999999998,6.8509111404418945,0.05187103524804115,3276800,400,399,-0.3239326477050781,87.08
234,8.775321600000002e-05,-0.12211629003286362,0.9562635272741318,14135,0.091140736,6.75300407409668,0.058527860790491104,3309568,404,403,-0.32932907342910767,88.6
233,8.6639104e-05,-0.14482805132865906,0.9559612981975079,14287,0.08956787199999999,6.618386745452881,0.05155399441719055,3342336,408,407,-0.332414448261261,92.12
233,8.5524992e-05,-0.14441406726837158,0.9540075734257698,14434,0.08799500800000001,6.6348958015441895,0.05573568493127823,3375104,412,411,-0.3352944254875183,89.4
