time/fps,train/policy_loss,train/value_loss,train/learning_rate,time/total_timesteps,train/n_updates,train/ent_coef,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/explained_variance
274,-0.04858945310115814,0.09037545323371887,0.00010808575999999999,1359872,165,0.11945228799999999,166,97.7,6.521658897399902,4949,-0.23909547924995422,0.9448861218988895
275,-0.04740103706717491,0.08487983047962189,0.000106971648,1376256,167,0.11787942400000001,168,102.71,6.391000747680664,5000,-0.22944316267967224,0.9471946470439434
275,-0.07657183706760406,0.0804496631026268,0.000105857536,1392640,169,0.11630656,170,88.08,6.3112382888793945,5052,-0.24393805861473083,0.9492289200425148
276,-0.05938669294118881,0.1025448739528656,0.00010474342400000001,1409024,171,0.114733696,172,98.68,6.445928573608398,5103,-0.23571506142616272,0.9403380081057549
276,-0.058013543486595154,0.10326822102069855,0.00010362931200000001,1425408,173,0.11316083200000002,174,97.58,6.285799026489258,5155,-0.23010066151618958,0.9366467818617821
276,-0.06046638265252113,0.0842655748128891,0.00010251520000000002,1441792,175,0.11158796800000001,176,97.47,6.35848331451416,5206,-0.23092983663082123,0.9504675827920437
277,-0.05197160691022873,0.0924428254365921,0.000101401088,1458176,177,0.110015104,178,104.06,6.495845317840576,5257,-0.22212345898151398,0.941557951271534
277,-0.06580810248851776,0.08415547013282776,0.000100286976,1474560,179,0.10844224,180,104.23,6.4052348136901855,5309,-0.22197997570037842,0.9457003623247147
278,-0.05371204763650894,0.11176147311925888,9.917286400000001e-05,1490944,181,0.10686937600000002,182,104.53,6.27874755859375,5360,-0.22283679246902466,0.9326934814453125
278,-0.06509099155664444,0.09641158580780029,9.805875199999999e-05,1507328,183,0.10529651200000001,184,94.41,6.437282085418701,5412,-0.22383475303649902,0.9398298598825932
278,-0.05558808892965317,0.10545993596315384,9.694464e-05,1523712,185,0.103723648,186,99.09,6.353530406951904,5462,-0.22520332038402557,0.9352608248591423
279,-0.052669644355773926,0.07843996584415436,9.5830528e-05,1540096,187,0.10215078400000002,188,96.27,6.454990386962891,5513,-0.21979430317878723,0.9517428427934647
279,-0.053184062242507935,0.08378122001886368,9.471641600000001e-05,1556480,189,0.10057791999999999,190,102.63,6.525193691253662,5564,-0.21018362045288086,0.9474318288266659
280,-0.04373952001333237,0.06780806183815002,9.360230400000001e-05,1572864,191,0.09900505600000001,192,112.91,6.443222522735596,5616,-0.2243679165840149,0.9564137756824493
280,-0.05865135043859482,0.05564643442630768,9.248819199999999e-05,1589248,193,0.097432192,194,100.71,6.6305623054504395,5669,-0.22709235548973083,0.9644938334822655
280,-0.03900064527988434,0.0714086964726448,9.137408e-05,1605632,195,0.09585932800000002,196,96.15,6.593809604644775,5721,-0.2207491546869278,0.9565683826804161
281,-0.06113307923078537,0.05567315220832825,9.0259968e-05,1622016,197,0.09428646400000001,198,102.0,6.621069431304932,5772,-0.22492188215255737,0.9652907699346542
281,-0.03258717060089111,0.0811963900923729,8.914585600000001e-05,1638400,199,0.09271359999999998,200,102.44,6.3164873123168945,5823,-0.20890460908412933,0.9517304860055447
281,-0.056629955768585205,0.07040343433618546,8.8031744e-05,1654784,201,0.091140736,202,96.09,6.71533203125,5875,-0.2202097624540329,0.956581212580204
281,-0.044569291174411774,0.08312491327524185,8.691763200000002e-05,1671168,203,0.08956787199999999,204,98.5,6.707216262817383,5926,-0.2122035175561905,0.9475719034671783
282,-0.051714278757572174,0.07114401459693909,8.580352e-05,1687552,205,0.08799500800000001,206,95.77,6.7023797035217285,5978,-0.21887126564979553,0.9536497853696346
282,-0.07521214336156845,0.06334419548511505,8.468940800000001e-05,1703936,207,0.086422144,208,97.72,6.618369102478027,6031,-0.2174525260925293,0.9564785063266754
282,-0.058144912123680115,0.07163000851869583,8.357529600000001e-05,1720320,209,0.08484928000000003,210,98.41,6.540996551513672,6082,-0.21063446998596191,0.9538246430456638
283,-0.047024574130773544,0.07219456881284714,8.246118399999999e-05,1736704,211,0.08327641599999999,212,94.66,6.731139659881592,6133,-0.2064567506313324,0.9569083526730537
283,-0.04784896969795227,0.06146394461393356,8.1347072e-05,1753088,213,0.08170355200000001,214,98.08,6.760227680206299,6184,-0.2096712291240692,0.9616683125495911
283,-0.05443980172276497,0.0696757435798645,8.023296e-05,1769472,215,0.080130688,216,100.64,6.76152229309082,6235,-0.20752780139446259,0.960219394415617
284,-0.05248476564884186,0.07613300532102585,7.911884800000001e-05,1785856,217,0.078557824,218,99.53,6.593114852905273,6287,-0.2060469537973404,0.9554930217564106
284,-0.04780926555395126,0.05671710520982742,7.800473600000001e-05,1802240,219,0.07698496000000002,220,99.15,6.790916919708252,6339,-0.20461511611938477,0.9633883349597454
284,-0.05903322994709015,0.05860496312379837,7.689062400000002e-05,1818624,221,0.07541209600000001,222,89.6,6.881112098693848,6391,-0.2133667767047882,0.964430283755064
284,-0.0313197486102581,0.08160336315631866,7.5776512e-05,1835008,223,0.073839232,224,103.9,6.638279914855957,6443,-0.19381016492843628,0.9511146694421768
285,-0.03647441044449806,0.08880957216024399,7.46624e-05,1851392,225,0.072266368,226,103.08,6.757387161254883,6494,-0.20461201667785645,0.9507738128304482
285,-0.04709406942129135,0.06460043787956238,7.354828800000001e-05,1867776,227,0.07069350400000002,228,109.06,6.595551013946533,6545,-0.20519714057445526,0.9588539302349091
285,-0.04221520200371742,0.07932701706886292,7.243417599999999e-05,1884160,229,0.06912064000000001,230,103.07,6.506731986999512,6596,-0.19595035910606384,0.951371394097805
285,-0.04835539683699608,0.08390404284000397,7.1320064e-05,1900544,231,0.067547776,232,94.36,6.785683631896973,6647,-0.1941763162612915,0.9467520453035831
286,-0.04811564087867737,0.06724005937576294,7.0205952e-05,1916928,233,0.065974912,234,97.12,6.6378045082092285,6700,-0.19777128100395203,0.9544486291706562
286,-0.0619293749332428,0.07680332660675049,6.909184000000001e-05,1933312,235,0.06440204799999999,236,96.09,6.790820121765137,6751,-0.20384138822555542,0.950068149715662
286,-0.05680517107248306,0.07755029946565628,6.797772800000001e-05,1949696,237,0.06282918400000001,238,95.14,6.747849941253662,6803,-0.20222872495651245,0.949525959789753
286,-0.05792463943362236,0.059686869382858276,6.686361599999999e-05,1966080,239,0.06125632,240,97.6,6.7722625732421875,6853,-0.21199113130569458,0.9612331353127956
287,-0.04443816468119621,0.06525963544845581,6.5749504e-05,1982464,241,0.059683456000000024,242,91.78,6.790656566619873,6904,-0.19687893986701965,0.960009977221489
287,-0.05101677030324936,0.060313839465379715,6.4635392e-05,1998848,243,0.058110592000000016,244,99.91,6.654284477233887,6955,-0.20130974054336548,0.9617522656917572
287,-0.04934258013963699,0.057970963418483734,6.352128000000001e-05,2015232,245,0.05653772799999998,246,94.92,6.738699913024902,7006,-0.2007288634777069,0.9671003967523575
287,-0.049834415316581726,0.07035984098911285,6.2407168e-05,2031616,247,0.054964864,248,92.75,6.865534782409668,7058,-0.20094382762908936,0.9580165185034275
288,-0.03636356070637703,0.07210204005241394,6.1293056e-05,2048000,249,0.053391999999999995,250,97.93,6.851326942443848,7110,-0.19019299745559692,0.955702468752861
288,-0.04907592386007309,0.08417186141014099,6.0178944e-05,2064384,251,0.051819136000000016,252,94.9,6.698996067047119,7160,-0.1870650202035904,0.9482951238751411
288,-0.053778912872076035,0.08369012176990509,5.906483200000001e-05,2080768,253,0.05024627200000001,254,91.41,6.962357997894287,7212,-0.18727968633174896,0.9443393796682358
288,-0.03874093294143677,0.06928130239248276,5.795072000000001e-05,2097152,255,0.04867340800000003,256,99.71,6.799424648284912,7263,-0.1804300844669342,0.9508344568312168
288,-0.058935701847076416,0.058839403092861176,5.683660799999999e-05,2113536,257,0.047100543999999994,258,101.85,6.799440860748291,7315,-0.19252347946166992,0.9600275531411171
289,-0.03491797670722008,0.06913156807422638,5.5722496e-05,2129920,259,0.045527680000000015,260,92.15,6.926782131195068,7365,-0.18153876066207886,0.9559815227985382
289,-0.0595860630273819,0.04779971018433571,5.4608384e-05,2146304,261,0.04395481600000001,262,92.36,7.02081298828125,7417,-0.2020202875137329,0.9693314433097839
289,-0.04299396276473999,0.07984505593776703,5.349427200000001e-05,2162688,263,0.042381952,264,91.69,6.9016876220703125,7468,-0.19773483276367188,0.9547653794288635
289,-0.040632251650094986,0.07408864051103592,5.238016e-05,2179072,265,0.04080908800000002,266,91.79,6.8289794921875,7519,-0.1943630576133728,0.9568258561193943
290,-0.04225959628820419,0.07100649923086166,5.126604800000001e-05,2195456,267,0.039236224000000014,268,90.53,6.819782733917236,7569,-0.19431844353675842,0.9570206888020039
290,-0.05540949106216431,0.058367446064949036,5.0151936e-05,2211840,269,0.03766336000000001,270,93.32,6.929134368896484,7621,-0.19009287655353546,0.9630735367536545
290,-0.05397278070449829,0.06624531745910645,4.9037824e-05,2228224,271,0.036090496,272,99.38,6.705727577209473,7672,-0.18836361169815063,0.9570812322199345
290,-0.04081264138221741,0.06086215376853943,4.792371200000001e-05,2244608,273,0.03451763200000002,274,86.41,6.922561168670654,7723,-0.18373990058898926,0.9567852392792702
290,-0.056604381650686264,0.06558670848608017,4.680959999999999e-05,2260992,275,0.03294476800000001,276,91.56,6.889781475067139,7775,-0.17584377527236938,0.9589426927268505
290,-0.054688502103090286,0.056810636073350906,4.5695488000000004e-05,2277376,277,0.031371904000000006,278,100.87,6.746389865875244,7826,-0.1824423223733902,0.962423037737608
291,-0.049521248787641525,0.0635024905204773,4.4581376e-05,2293760,279,0.02979904,280,91.32,7.065545082092285,7877,-0.18461540341377258,0.9592042602598667
291,-0.04829394072294235,0.05014119669795036,4.346726400000001e-05,2310144,281,0.02822617599999999,282,98.79,6.812160491943359,7929,-0.18876570463180542,0.9691946897655725
291,-0.05550907924771309,0.057931266725063324,4.2353152e-05,2326528,283,0.026653312000000012,284,100.17,6.9619975090026855,7981,-0.1869615912437439,0.9659799560904503
291,-0.0363389253616333,0.06099873036146164,4.123903999999999e-05,2342912,285,0.025080448000000005,286,95.59,6.966235160827637,8032,-0.18374215066432953,0.9637948796153069
291,-0.043611716479063034,0.056479357182979584,4.0124928e-05,2359296,287,0.023507584000000026,288,98.86,6.905900955200195,8083,-0.1879078447818756,0.9660852253437042
292,-0.0430559366941452,0.060768164694309235,3.901081599999999e-05,2375680,289,0.02193472000000002,290,94.59,6.901201248168945,8135,-0.1800898313522339,0.9617709778249264
292,-0.04521536827087402,0.06677502393722534,3.7896704000000004e-05,2392064,291,0.020361855999999984,292,95.72,6.998090744018555,8185,-0.19263365864753723,0.9593628905713558
292,-0.04454068839550018,0.059225428849458694,3.6782591999999994e-05,2408448,293,0.018788992000000004,294,91.62,6.997616767883301,8237,-0.17915333807468414,0.9607468880712986
292,-0.0446600615978241,0.051825203001499176,3.5668480000000004e-05,2424832,295,0.017216127999999997,296,98.41,6.8193840980529785,8288,-0.1827586591243744,0.9643431156873703
292,-0.04896797984838486,0.07345624268054962,3.4554368e-05,2441216,297,0.015643264000000018,298,96.83,6.769006729125977,8339,-0.1772913634777069,0.9520808681845665
292,-0.053221166133880615,0.05918589234352112,3.344025600000001e-05,2457600,299,0.01407040000000001,300,89.55,6.882429599761963,8390,-0.17759117484092712,0.9607983194291592
293,-0.04423997551202774,0.0709146112203598,3.2326144e-05,2473984,301,0.012497536000000031,302,95.98,6.894646167755127,8440,-0.17316533625125885,0.9563089683651924
293,-0.04237579181790352,0.07291848957538605,3.121203199999999e-05,2490368,303,0.010924671999999996,304,94.69,6.983870983123779,8492,-0.17279109358787537,0.9534496106207371
293,-0.039024487137794495,0.07692229747772217,3.0097920000000003e-05,2506752,305,0.010000000000000009,306,89.46,6.796641826629639,8544,-0.17093536257743835,0.9509690217673779
